IATA,ICAO,NAME
N5,SGY,[Skagway Air Service](https://airlinecodes.info/N5)
N5,KGZ,[Kyrgyz Airlines](https://airlinecodes.info/N5)
N6,ACQ,[Nuevo Continente](https://airlinecodes.info/N6)
N6,LGA,[Lagun Air](https://airlinecodes.info/N6)
N7,ROK,[National Airlines](https://airlinecodes.info/N7)
N8,HGK,[Fika Salaama Airlines](https://airlinecodes.info/N8)
N9,NVR,[Novair](https://airlinecodes.info/N9)
NB,SNB,[Sterling Airlines](https://airlinecodes.info/NB)
NC,NAC,[Northern Air Cargo](https://airlinecodes.info/NC)
NC,NJS,[National Jet Systems](https://airlinecodes.info/NC)
NE,ESK,[SkyEurope](https://airlinecodes.info/NE)
NF,AVN,[Air Vanuatu](https://airlinecodes.info/NF)
NG,LDA,[Lauda Air](https://airlinecodes.info/NG)
NH,ANA,[All Nippon Airways](https://airlinecodes.info/NH)
NI,PGA,[Portugalia](https://airlinecodes.info/NI)
NK,NKS,[Spirit Airlines](https://airlinecodes.info/NK)
NL,SAI,[Shaheen Air International](https://airlinecodes.info/NL)
NM,DRD,[Air Madrid](https://airlinecodes.info/NM)
NM,NZM,[Mount Cook Airlines](https://airlinecodes.info/NM)
NN,MOV,[VIM Airlines](https://airlinecodes.info/NN)
NO,NOS,[Neos](https://airlinecodes.info/NO)
NO,AUS,[Aus-Air](https://airlinecodes.info/NO)
NQ,AJX,[Air Japan](https://airlinecodes.info/NQ)
NR,PIR,[Pamir Airways](https://airlinecodes.info/NR)
NT,IBB,[Binter Canarias](https://airlinecodes.info/NT)
NU,JTA,[Japan Transocean Air](https://airlinecodes.info/NU)
NV,CRF,[Air Central](https://airlinecodes.info/NV)
NW,NWA,[Northwest Airlines](https://airlinecodes.info/NW)
NX,AMU,[Air Macau](https://airlinecodes.info/NX)
NY,FXI,[Air Iceland](https://airlinecodes.info/NY)
NZ,ANZ,[Air New Zealand](https://airlinecodes.info/NZ)
O3,CSS,[SF Airlines](https://airlinecodes.info/O3)
O6,ONE,[Avianca Brazil](https://airlinecodes.info/O6)
O7,OZJ,[Ozjet Airlines](https://airlinecodes.info/O7)
O8,OHK,[Oasis Hong Kong Airlines](https://airlinecodes.info/O8)
OA,OAL,[Olympic Airlines](https://airlinecodes.info/OA)
OB,ASZ,[Astrakhan Airlines](https://airlinecodes.info/OB)
OD,MXD,[Malindo Air](https://airlinecodes.info/OD)
OE,AOT,[Asia Overnight Express](https://airlinecodes.info/OE)
OH,JIA,[PSA Airlines](https://airlinecodes.info/OH)
OJ,OLA,[Overland Airways](https://airlinecodes.info/OJ)
OK,CSA,[Czech Airlines](https://airlinecodes.info/OK)
OL,OLT,[Ostfriesische Lufttransport](https://airlinecodes.info/OL)
OM,MGL,[MIAT Mongolian Airlines](https://airlinecodes.info/OM)
OO,SKW,[SkyWest Airlines](https://airlinecodes.info/OO)
OR,TFL,[TUI fly Netherlands](https://airlinecodes.info/OR)
OS,AUA,[Austrian Airlines](https://airlinecodes.info/OS)
OT,PEL,[Aeropelican Air Services](https://airlinecodes.info/OT)
OU,CTN,[Croatia Airlines](https://airlinecodes.info/OU)
OV,ELL,[Estonian Air](https://airlinecodes.info/OV)
OW,EXK,[Executive Airlines](https://airlinecodes.info/OW)
OX,OEA,[Orient Thai Airlines](https://airlinecodes.info/OX)
OY,OAE,[Omni Air International](https://airlinecodes.info/OY)
OZ,AAR,[Asiana Airlines](https://airlinecodes.info/OZ)
P5,RPB,[Copa Airlines Colombia](https://airlinecodes.info/P5)
P7,ESL,[Russian Sky Airlines](https://airlinecodes.info/P7)
P9,PGP,[Perm Airlines](https://airlinecodes.info/P9)
PA,FCL,[Florida Coastal Airlines](https://airlinecodes.info/PA)
PC,PGT,[Pegasus Airlines](https://airlinecodes.info/PC)
PD,POE,[Porter Airlines](https://airlinecodes.info/PD)
PE,AEL,[Air Europe](https://airlinecodes.info/PE)
PF,PNW,[Palestinian Airlines](https://airlinecodes.info/PF)
PG,BKP,[Bangkok Airways](https://airlinecodes.info/PG)
PH,PAO,[Polynesian Airlines](https://airlinecodes.info/PH)
PJ,SPM,[Air Saint Pierre](https://airlinecodes.info/PJ)
PK,PIA,[Pakistan International Airlines](https://airlinecodes.info/PK)
PL,PLI,[Aeroperú](https://airlinecodes.info/PL)
PM,TOS,[Tropic Air](https://airlinecodes.info/PM)
PO,PAC,[Polar Air Cargo](https://airlinecodes.info/PO)
PQ,SQP,[SkyUp](https://airlinecodes.info/PQ)
PR,PAL,[Philippine Airlines](https://airlinecodes.info/PR)
PS,AUI,[Ukraine International Airlines](https://airlinecodes.info/PS)
PT,PDT,[Piedmont Airlines](https://airlinecodes.info/PT)
PU,PUA,[PLUNA](https://airlinecodes.info/PU)
PV,PNR,[PAN Air](https://airlinecodes.info/PV)
PW,PRF,[Precision Air](https://airlinecodes.info/PW)
PX,ANG,[Air Niugini](https://airlinecodes.info/PX)
PY,SLM,[Surinam Airways](https://airlinecodes.info/PY)
PZ,LAP,[TAM Mercosur](https://airlinecodes.info/PZ)
Q3,MBN,[Zambian Airways](https://airlinecodes.info/Q3)
Q5,MLA,[40-Mile Air](https://airlinecodes.info/Q5)
Q6,CDP,[Aero Condor Peru](https://airlinecodes.info/Q6)
Q8,PEC,[Pacific East Asia Cargo Airlines](https://airlinecodes.info/Q8)
Q9,AFU,[Afrinat International Airlines](https://airlinecodes.info/Q9)
QB,GFG,[Georgian National Airlines](https://airlinecodes.info/QB)
QC,CRD,[Air Corridor](https://airlinecodes.info/QC)
QE,ECC,[Crossair Europe](https://airlinecodes.info/QE)
QF,QFA,[Qantas](https://airlinecodes.info/QF)
QH,LYN,[Air Kyrgyzstan](https://airlinecodes.info/QH)
QI,CIM,[Cimber Air](https://airlinecodes.info/QI)
QK,JZA,[Air Canada Jazz](https://airlinecodes.info/QK)
QL,RLN,[Aero Lanka](https://airlinecodes.info/QL)
QM,AML,[Air Malawi](https://airlinecodes.info/QM)
QN,ARR,[Air Armenia](https://airlinecodes.info/QN)
QO,MPX,[Aeromexpress](https://airlinecodes.info/QO)
QQ,UTY,[Alliance Airlines](https://airlinecodes.info/QQ)
QR,QTR,[Qatar Airways](https://airlinecodes.info/QR)
QS,TVS,[Smartwings](https://airlinecodes.info/QS)
QT,TPA,[Tampa Cargo](https://airlinecodes.info/QT)
QV,LAO,[Lao Airlines](https://airlinecodes.info/QV)
QW,BWG,[Blue Wings](https://airlinecodes.info/QW)
QX,QXE,[Horizon Air](https://airlinecodes.info/QX)
QY,BCS,[European Air Transport Leipzig](https://airlinecodes.info/QY)
QZ,AWQ,[Indonesia AirAsia](https://airlinecodes.info/QZ)
R0,RPK,[Royal Airlines](https://airlinecodes.info/R0)
R2,ORB,[Orenburg Airlines](https://airlinecodes.info/R2)
R3,RME,[Armenian Airlines](https://airlinecodes.info/R3)
R3,SYL,[Aircompany Yakutia](https://airlinecodes.info/R3)
R5,JAV,[Jordan Aviation](https://airlinecodes.info/R5)
R5,MAC,[Malta Air Charter](https://airlinecodes.info/R5)
R7,OCA,[Aserca Airlines](https://airlinecodes.info/R7)
R8,KGA,[Kyrgyzstan Airlines](https://airlinecodes.info/R8)
R9,CAM,[Camai Air](https://airlinecodes.info/R9)
RB,SYR,[Syrian Arab Airlines](https://airlinecodes.info/RB)
RB,SBK,[Air Srpska](https://airlinecodes.info/RB)
RC,FLI,[Atlantic Airways](https://airlinecodes.info/RC)
RD,RYN,[Ryan International Airlines](https://airlinecodes.info/RD)
RE,REA,[Aer Arann](https://airlinecodes.info/RE)
RF,FWL,[Florida West International Airways](https://airlinecodes.info/RF)
RG,VRN,[VRG Linhas Aereas](https://airlinecodes.info/RG)
RH,RPH,[Republic Express Airlines](https://airlinecodes.info/RH)
RI,MDL,[Mandala Airlines](https://airlinecodes.info/RI)
RJ,RJA,[Royal Jordanian](https://airlinecodes.info/RJ)
RK,RKH,[Royal Khmer Airlines](https://airlinecodes.info/RK)
RL,ABG,[Royal Flight](https://airlinecodes.info/RL)
RO,ROT,[Tarom](https://airlinecodes.info/RO)
RQ,KMF,[Kam Air](https://airlinecodes.info/RQ)
RR,RFR,[Royal Air Force](https://airlinecodes.info/RR)
RS,MJN,[Royal Air Force of Oman](https://airlinecodes.info/RS)
RT,RKM,[RAK Airways](https://airlinecodes.info/RT)
RU,ABW,[AirBridgeCargo](https://airlinecodes.info/RU)
RV,ROU,[Air Canada Rouge](https://airlinecodes.info/RV)
RW,RPA,[Republic Airlines](https://airlinecodes.info/RW)
RX,AEH,[Aviaexpress](https://airlinecodes.info/RX)
S0,OKS,[Slok Air Gambia](https://airlinecodes.info/S0)
S2,JLL,[JetLite](https://airlinecodes.info/S2)
S3,BBR,[Santa Barbara Airlines](https://airlinecodes.info/S3)
S4,RZO,[SATA International](https://airlinecodes.info/S4)
S5,TSJ,[Trast Aero](https://airlinecodes.info/S5)
S5,TCF,[Shuttle America](https://airlinecodes.info/S5)
S7,SBI,[S7 Airlines](https://airlinecodes.info/S7)
S8,SWW,[Shovkoviy Shlyah](https://airlinecodes.info/S8)
S8,CSU,[Chari Aviation Services](https://airlinecodes.info/S8)
SA,SAA,[South African Airways](https://airlinecodes.info/SA)
SB,ACI,[Air Caledonie International](https://airlinecodes.info/SB)
SC,CDG,[Shandong Airlines](https://airlinecodes.info/SC)
SD,SUD,[Sudan Airways](https://airlinecodes.info/SD)
SE,XLF,[XL Airways France](https://airlinecodes.info/SE)
SF,DTH,[Tassili Airlines](https://airlinecodes.info/SF)
SG,SEJ,[SpiceJet](https://airlinecodes.info/SG)
SH,FLY,[Fly Me Sweden](https://airlinecodes.info/SH)
SI,SIH,[Skynet Airlines](https://airlinecodes.info/SI)
SJ,CGL,[Seagle Air](https://airlinecodes.info/SJ)
SK,SAS,[Scandinavian Airlines](https://airlinecodes.info/SK)
SN,BEL,[Brussels Airlines](https://airlinecodes.info/SN)
SO,OSL,[Sosoliso Airlines](https://airlinecodes.info/SO)
SO,HKA,[Superior Aviation](https://airlinecodes.info/SO)
SP,SAT,[SATA Air Acores](https://airlinecodes.info/SP)
SQ,SIA,[Singapore Airlines](https://airlinecodes.info/SQ)
SQ,SQC,[Singapore Airlines Cargo](https://airlinecodes.info/SQ)
SS,CRL,[Corsair International](https://airlinecodes.info/SS)
ST,GMI,[Germania](https://airlinecodes.info/ST)
SU,AFL,[Aeroflot](https://airlinecodes.info/SU)
SV,SVA,[Saudi Arabian Airlines](https://airlinecodes.info/SV)
SW,NMB,[Air Namibia](https://airlinecodes.info/SW)
SX,SKB,[Skybus Airlines](https://airlinecodes.info/SX)
SY,SCX,[Sun Country Airlines](https://airlinecodes.info/SY)
T2,TMA,[TMA Cargo](https://airlinecodes.info/T2)
T3,EZE,[Eastern Airways](https://airlinecodes.info/T3)
T4,HEJ,[Hellas Jet](https://airlinecodes.info/T4)
T6,TVR,[Tavrey Airlines](https://airlinecodes.info/T6)
T7,TJT,[Twin Jet](https://airlinecodes.info/T7)
T9,TSX,[Thai Star Airlines](https://airlinecodes.info/T9)
T9,TRZ,[TransMeridian Airlines](https://airlinecodes.info/T9)
TA,TAI,[Avianca El Salvador](https://airlinecodes.info/TA)
TB,JAF,[TUI fly Belgium](https://airlinecodes.info/TB)
TC,ATC,[Air Tanzania](https://airlinecodes.info/TC)
TD,LUR,[Atlantis European Airways](https://airlinecodes.info/TD)
TD,TLP,[Tulip Air](https://airlinecodes.info/TD)
TE,LIL,[FlyLal](https://airlinecodes.info/TE)
TG,THA,[Thai Airways](https://airlinecodes.info/TG)
TH,TSE,[Transmile Air Services](https://airlinecodes.info/TH)
TI,TOL,[Tol-Air Services](https://airlinecodes.info/TI)
TK,THY,[Turkish Airlines](https://airlinecodes.info/TK)
TL,ANO,[Airnorth](https://airlinecodes.info/TL)
TM,LAM,[LAM Mozambique Airlines](https://airlinecodes.info/TM)
TN,THT,[Air Tahiti Nui](https://airlinecodes.info/TN)
TO,TVF,[Transavia France](https://airlinecodes.info/TO)
TP,TAP,[TAP Air Portugal](https://airlinecodes.info/TP)
TQ,TDM,[Tandem Aero](https://airlinecodes.info/TQ)
TR,TGW,[Scoot](https://airlinecodes.info/TR)
TS,TSC,[Air Transat](https://airlinecodes.info/TS)
TT,TGG,[Tigerair Australia](https://airlinecodes.info/TT)
TU,TAR,[Tunisair](https://airlinecodes.info/TU)
TV,VEX,[Virgin Express](https://airlinecodes.info/TV)
TW,TWB,[T'way Air](https://airlinecodes.info/TW)
TX,FWI,[Air Caraïbes](https://airlinecodes.info/TX)
TY,TPC,[Air Calédonie](https://airlinecodes.info/TY)
TZ,AMT,[ATA Airlines](https://airlinecodes.info/TZ)
U2,EZY,[easyJet](https://airlinecodes.info/U2)
U3,AIA,[Avies](https://airlinecodes.info/U3)
U4,PMT,[PMTair](https://airlinecodes.info/U4)
U5,GWY,[USA3000 Airlines](https://airlinecodes.info/U5)
U6,SVR,[Ural Airlines](https://airlinecodes.info/U6)
U7,JUS,[USA Jet Airlines](https://airlinecodes.info/U7)
U8,RNV,[Armavia](https://airlinecodes.info/U8)
U9,TAK,[Tatarstan Airlines](https://airlinecodes.info/U9)
UA,UAL,[United Airlines](https://airlinecodes.info/UA)
UB,UBA,[Myanma Airways](https://airlinecodes.info/UB)
UE,NAS,[Nasair](https://airlinecodes.info/UE)
UF,UKM,[UM Airlines](https://airlinecodes.info/UF)
UG,TUX,[Tunisair Express](https://airlinecodes.info/UG)
UI,ECA,[Eurocypria Airlines](https://airlinecodes.info/UI)
UK,VTI,[Vistara](https://airlinecodes.info/UK)
UL,ALK,[SriLankan Airlines](https://airlinecodes.info/UL)
UM,AZW,[Air Zimbabwe](https://airlinecodes.info/UM)
UN,TSO,[Transaero Airlines](https://airlinecodes.info/UN)
UO,HKE,[HK Express](https://airlinecodes.info/UO)
UP,BHS,[Bahamasair](https://airlinecodes.info/UP)
US,AWE,[US Airways](https://airlinecodes.info/US)
UT,UTA,[UTair Aviation](https://airlinecodes.info/UT)
UU,REU,[Air Austral](https://airlinecodes.info/UU)
UX,AEA,[Air Europa](https://airlinecodes.info/UX)
UY,UYC,[Cameroon Airlines](https://airlinecodes.info/UY)
UZ,BRQ,[El-Buraq Air Transport](https://airlinecodes.info/UZ)
V0,VCV,[Conviasa](https://airlinecodes.info/V0)
V2,AKT,[Karat](https://airlinecodes.info/V2)
V3,KRP,[Carpatair](https://airlinecodes.info/V3)
V4,REK,[Reem Air](https://airlinecodes.info/V4)
V5,VLI,[Avolar Aerolineas](https://airlinecodes.info/V5)
V5,RYL,[Royal Aruban Airline](https://airlinecodes.info/V5)
V7,SNG,[Air Senegal International](https://airlinecodes.info/V7)
V8,VAS,[ATRAN Cargo Airlines](https://airlinecodes.info/V8)
V9,BTC,[BAL Bashkirian Airlines](https://airlinecodes.info/V9)
VA,VOZ,[Virgin Australia](https://airlinecodes.info/VA)
VB,VIV,[VivaAerobús](https://airlinecodes.info/VB)
VC,AGC,[Air Australia](https://airlinecodes.info/VC)
VC,VAL,[Voyageur Airways](https://airlinecodes.info/VC)
VD,KPA,[Henan Airlines](https://airlinecodes.info/VD)
VE,EUJ,[EUjet](https://airlinecodes.info/VE)
VE,VLE,[Volare Airlines](https://airlinecodes.info/VE)
VE,AVE,[Avensa](https://airlinecodes.info/VE)
VF,VLU,[Valuair](https://airlinecodes.info/VF)
VG,VLM,[VLM Airlines](https://airlinecodes.info/VG)
VI,VDA,[Volga-Dnepr Airlines](https://airlinecodes.info/VI)
VJ,VJC,[VietJet Air](https://airlinecodes.info/VJ)
VK,VGN,[Virgin Nigeria Airways](https://airlinecodes.info/VK)
VL,VIM,[Air VIA](https://airlinecodes.info/VL)
VM,VOA,[Viaggio Air](https://airlinecodes.info/VM)
VN,HVN,[Vietnam Airlines](https://airlinecodes.info/VN)
VO,TYR,[Austrian Arrows](https://airlinecodes.info/VO)
VP,VSP,[VASP](https://airlinecodes.info/VP)
VR,TCV,[TACV](https://airlinecodes.info/VR)
VS,VIR,[Virgin Atlantic Airways](https://airlinecodes.info/VS)
VT,VTA,[Air Tahiti](https://airlinecodes.info/VT)
VU,VUN,[Air Ivoire](https://airlinecodes.info/VU)
VV,AEW,[Aerosvit Airlines](https://airlinecodes.info/VV)
VW,TAO,[Aeromar](https://airlinecodes.info/VW)
VX,VRD,[Virgin America](https://airlinecodes.info/VX)
VY,VLG,[Vueling Airlines](https://airlinecodes.info/VY)
VZ,QCL,[Air Class Lineas Aereas](https://airlinecodes.info/VZ)
W1,WDL,[WDL Aviation](https://airlinecodes.info/W1)
W2,CWA,[Canadian Western Airlines](https://airlinecodes.info/W2)
W3,FYH,[Flyhy Cargo Airlines](https://airlinecodes.info/W3)
W4,BES,[Aero Services Executive](https://airlinecodes.info/W4)
W5,IRM,[Mahan Air](https://airlinecodes.info/W5)
W6,WZZ,[Wizz Air](https://airlinecodes.info/W6)
W8,CJT,[Cargojet Airways](https://airlinecodes.info/W8)
W9,WUK,[Wizz Air UK](https://airlinecodes.info/W9)
WA,KLC,[KLM Cityhopper](https://airlinecodes.info/WA)
WB,RWD,[Rwandair Express](https://airlinecodes.info/WB)
WC,ISV,[Islena De Inversiones](https://airlinecodes.info/WC)
WD,DSR,[DAS Air Cargo](https://airlinecodes.info/WD)
WE,CWC,[Centurion Air Cargo](https://airlinecodes.info/WE)
WF,WIF,[Widerøe](https://airlinecodes.info/WF)
WG,SWG,[Sunwing Airlines](https://airlinecodes.info/WG)
WH,CNW,[China Northwest Airlines](https://airlinecodes.info/WH)
WJ,WEB,[WebJet Linhas Aéreas](https://airlinecodes.info/WJ)
WK,EDW,[Edelweiss Air](https://airlinecodes.info/WK)
WN,SWA,[Southwest Airlines](https://airlinecodes.info/WN)
WO,WSW,[Swoop](https://airlinecodes.info/WO)
WQ,SWQ,[iAero Airways](https://airlinecodes.info/WQ)
WR,HRH,[Royal Tongan Airlines](https://airlinecodes.info/WR)
WS,WJA,[WestJet](https://airlinecodes.info/WS)
WT,WSG,[Wasaya Airways](https://airlinecodes.info/WT)
WV,SWV,[Swe Fly](https://airlinecodes.info/WV)
WW,WOW,[WOW air](https://airlinecodes.info/WW)
WX,BCY,[CityJet](https://airlinecodes.info/WX)
WY,OMA,[Oman Air](https://airlinecodes.info/WY)
WZ,WSF,[West African Airlines](https://airlinecodes.info/WZ)
X3,TUI,[TUI fly Deutschland](https://airlinecodes.info/X3)
X7,CHF,[Chitaavia](https://airlinecodes.info/X7)
X9,NVD,[Avion Express](https://airlinecodes.info/X9)
XC,CAI,[Corendon Airlines](https://airlinecodes.info/XC)
XE,JSX,[JSX](https://airlinecodes.info/XE)
XF,VLK,[Vladivostok Air](https://airlinecodes.info/XF)
XG,CLI,[Clickair](https://airlinecodes.info/XG)
XJ,MES,[Mesaba Airlines](https://airlinecodes.info/XJ)
XK,CCM,[Corse-Mediterranee](https://airlinecodes.info/XK)
XL,LNE,[LATAM Ecuador](https://airlinecodes.info/XL)
XO,LTE,[LTE International Airways](https://airlinecodes.info/XO)
XO,CXH,[China Xinhua Airlines](https://airlinecodes.info/XO)
XP,VXP,[Avelo Airlines](https://airlinecodes.info/XP)
XQ,SXS,[SunExpress](https://airlinecodes.info/XQ)
XS,SIT,[SITA](https://airlinecodes.info/XS)
XT,AXL,[Air Exel](https://airlinecodes.info/XT)
XW,NCT,[NokScoot](https://airlinecodes.info/XW)
XY,KNE,[flynas](https://airlinecodes.info/XY)
Y4,VOI,[Volaris](https://airlinecodes.info/Y4)
Y5,PCE,[Pace Airlines](https://airlinecodes.info/Y5)
Y8,YZR,[Suparna Airlines](https://airlinecodes.info/Y8)
Y9,IRK,[Kish Air](https://airlinecodes.info/Y9)
YG,HYT,[YTO Cargo Airlines](https://airlinecodes.info/YG)
YH,WCW,[West Caribbean Airways](https://airlinecodes.info/YH)
YI,RSI,[Air Sunshine](https://airlinecodes.info/YI)
YL,LLM,[Yamal Airlines](https://airlinecodes.info/YL)
YM,MGX,[Montenegro Airlines](https://airlinecodes.info/YM)
YP,APZ,[Air Premia](https://airlinecodes.info/YP)
YT,TGA,[Air Togo](https://airlinecodes.info/YT)
YU,MMZ,[EuroAtlantic Airways](https://airlinecodes.info/YU)
YV,ASH,[Mesa Airlines](https://airlinecodes.info/YV)
YW,ANE,[Air Nostrum](https://airlinecodes.info/YW)
YX,MEP,[Midwest Airlines](https://airlinecodes.info/YX)
Z2,EZD,[AirAsia Zest](https://airlinecodes.info/Z2)
Z3,SMJ,[Avient Aviation](https://airlinecodes.info/Z3)
Z4,OOM,[Zoom Airlines](https://airlinecodes.info/Z4)
Z7,ADK,[ADC Airlines](https://airlinecodes.info/Z7)
Z8,AZN,[Amaszonas](https://airlinecodes.info/Z8)
Z9,BEK,[Bek Air](https://airlinecodes.info/Z9)
ZA,SUW,[Interavia Airlines](https://airlinecodes.info/ZA)
ZA,CYD,[Access Air](https://airlinecodes.info/ZA)
ZB,BUB,[Air Bourbon](https://airlinecodes.info/ZB)
ZB,MON,[Monarch Airlines](https://airlinecodes.info/ZB)
ZE,AZE,[Arcus-Air Logistic](https://airlinecodes.info/ZE)
ZE,LCD,[Lineas Aereas Azteca](https://airlinecodes.info/ZE)
ZH,CSZ,[Shenzhen Airlines](https://airlinecodes.info/ZH)
ZI,AAF,[Aigle Azur](https://airlinecodes.info/ZI)
ZK,GLA,[Great Lakes Airlines](https://airlinecodes.info/ZK)
ZL,RXA,[Regional Express](https://airlinecodes.info/ZL)
ZP,AZQ,[Silk Way Airlines](https://airlinecodes.info/ZP)
ZS,AZI,[Azzurra Air](https://airlinecodes.info/ZS)
ZS,SMY,[Sama Airlines](https://airlinecodes.info/ZS)
ZT,AWC,[Titan Airways](https://airlinecodes.info/ZT)
ZU,HCY,[Helios Airways](https://airlinecodes.info/ZU)
ZV,AMW,[Air Midwest](https://airlinecodes.info/ZV)
ZW,AWI,[Air Wisconsin](https://airlinecodes.info/ZW)
ZX,GGN,[Air Georgian](https://airlinecodes.info/ZX)
04,ABV,[Antrak Air](https://airlinecodes.info/04)
0A,GNT,[Amber Air](https://airlinecodes.info/0A)
0B,BMS,[Blue Air](https://airlinecodes.info/0B)
0D,DWT,[Darwin Airline](https://airlinecodes.info/0D)
0J,JCS,[Jetclub](https://airlinecodes.info/0J)
1A,AGT,[Amadeus Global Travel Distribution](https://airlinecodes.info/1A)
1I,EJA,[NetJets](https://airlinecodes.info/1I)
1L,OSY,[Open Skies Consultative Commission](https://airlinecodes.info/1L)
1T,RNX,[1Time Airline](https://airlinecodes.info/1T)
1W,WON,[Wings Air](https://airlinecodes.info/1W)
20,RNE,[Air Salone](https://airlinecodes.info/20)
2B,ARD,[Aerocondor](https://airlinecodes.info/2B)
2D,AOG,[Aero VIP](https://airlinecodes.info/2D)
2F,FTA,[Frontier Flying Service](https://airlinecodes.info/2F)
2G,CRG,[Cargoitalia](https://airlinecodes.info/2G)
2J,VBW,[Air Burkina](https://airlinecodes.info/2J)
2K,GLG,[Aerogal](https://airlinecodes.info/2K)
2L,OAW,[Helvetic Airways](https://airlinecodes.info/2L)
2M,MDV,[Moldavian Airlines](https://airlinecodes.info/2M)
2N,UMK,[Yuzhmashavia](https://airlinecodes.info/2N)
2P,GAP,[Air Philippines](https://airlinecodes.info/2P)
2Q,SNC,[Air Cargo Carriers](https://airlinecodes.info/2Q)
2S,SDY,[Island Express](https://airlinecodes.info/2S)
2T,HAM,[Haiti Ambassador Airlines](https://airlinecodes.info/2T)
2U,GIP,[Air Guinee Express](https://airlinecodes.info/2U)
2W,WLC,[Welcome Air](https://airlinecodes.info/2W)
2Z,CGN,[Changan Airlines](https://airlinecodes.info/2Z)
3C,CVA,[Air Chathams](https://airlinecodes.info/3C)
3G,AYZ,[Atlant-Soyuz Airlines](https://airlinecodes.info/3G)
3H,AIE,[Air Inuit](https://airlinecodes.info/3H)
3J,WZP,[Zip](https://airlinecodes.info/3J)
3K,JSA,[Jetstar Asia Airways](https://airlinecodes.info/3K)
3M,GFT,[Gulfstream International Airlines](https://airlinecodes.info/3M)
3N,URG,[Air Urga](https://airlinecodes.info/3N)
3P,TNM,[Tiara Air](https://airlinecodes.info/3P)
3Q,CYH,[Yunnan Airlines](https://airlinecodes.info/3Q)
3R,GAI,[Moskovia Airlines](https://airlinecodes.info/3R)
3S,AEN,[Aeroland Airways](https://airlinecodes.info/3S)
3T,URN,[Turan Air](https://airlinecodes.info/3T)
3U,CSC,[Sichuan Airlines](https://airlinecodes.info/3U)
3V,TAY,[ASL Airlines Belgium](https://airlinecodes.info/3V)
3W,EMX,[Euromanx Airways](https://airlinecodes.info/3W)
4A,AKL,[Air Kiribati](https://airlinecodes.info/4A)
4C,ARE,[Aires, Aerovias de Integracion Regional S.A.](https://airlinecodes.info/4C)
4D,ASD,[Air Sinai](https://airlinecodes.info/4D)
4F,ECE,[Air City](https://airlinecodes.info/4F)
4G,GZP,[Gazpromavia](https://airlinecodes.info/4G)
4I,KNX,[Knighthawk Air Express](https://airlinecodes.info/4I)
4J,SMR,[Somon Air](https://airlinecodes.info/4J)
4K,AAS,[Askari Aviation](https://airlinecodes.info/4K)
4L,LAU,[Líneas Aéreas Suramericanas](https://airlinecodes.info/4L)
4M,DSM,[Aero 2000](https://airlinecodes.info/4M)
4N,ANT,[Air North Charter - Canada](https://airlinecodes.info/4N)
4O,AIJ,[Interjet](https://airlinecodes.info/4O)
4R,HHI,[Hamburg International](https://airlinecodes.info/4R)
4S,FNC,[Finalair Congo](https://airlinecodes.info/4S)
4T,BHP,[Belair Airlines](https://airlinecodes.info/4T)
4U,GWI,[Germanwings](https://airlinecodes.info/4U)
4Y,RBU,[Airbus France](https://airlinecodes.info/4Y)
5A,AIP,[Alpine Air Express](https://airlinecodes.info/5A)
5C,ICL,[CAL Cargo Air Lines](https://airlinecodes.info/5C)
5D,SLI,[Aerolitoral](https://airlinecodes.info/5D)
5D,UDC,[DonbassAero](https://airlinecodes.info/5D)
5F,CIR,[Arctic Circle Air Service](https://airlinecodes.info/5F)
5G,SSV,[Skyservice Airlines](https://airlinecodes.info/5G)
5J,CEB,[Cebu Pacific](https://airlinecodes.info/5J)
5K,HFY,[Hi Fly](https://airlinecodes.info/5K)
5L,RSU,[Aerosur](https://airlinecodes.info/5L)
5M,SIB,[Sibaviatrans](https://airlinecodes.info/5M)
5N,AUL,[Aeroflot-Nord](https://airlinecodes.info/5N)
5O,FPO,[ASL Airlines France](https://airlinecodes.info/5O)
5T,MPE,[Canadian North](https://airlinecodes.info/5T)
5V,UKW,[Lviv Airlines](https://airlinecodes.info/5V)
5W,AEU,[Astraeus](https://airlinecodes.info/5W)
5X,UPS,[UPS Airlines](https://airlinecodes.info/5X)
5Y,GTI,[Atlas Air](https://airlinecodes.info/5Y)
5Z,BML,[Bismillah Airlines](https://airlinecodes.info/5Z)
6A,CHP,[Consorcio Aviaxsa](https://airlinecodes.info/6A)
6B,BLX,[TUI fly Nordic](https://airlinecodes.info/6B)
6E,IGO,[IndiGo](https://airlinecodes.info/6E)
6G,AWW,[Air Wales](https://airlinecodes.info/6G)
6H,ISR,[Israir](https://airlinecodes.info/6H)
6I,IBZ,[International Business Air](https://airlinecodes.info/6I)
6J,SNJ,[Solaseed Air](https://airlinecodes.info/6J)
6K,RIT,[Asian Spirit](https://airlinecodes.info/6K)
6N,NRD,[Nordic Regional](https://airlinecodes.info/6N)
6P,ISG,[Club Air](https://airlinecodes.info/6P)
6Q,SLL,[Slovak Airlines](https://airlinecodes.info/6Q)
6R,DRU,[Alrosa Mirny Air Enterprise](https://airlinecodes.info/6R)
6R\*,TNO,[AeroUnion](https://airlinecodes.info/6R*)
6U,UKR,[Air Ukraine](https://airlinecodes.info/6U)
6V,AXY,[Axis Airways](https://airlinecodes.info/6V)
6V,MRW,[Mars RK](https://airlinecodes.info/6V)
